rxn_id,has_energy,energy_source,atp_synthase_heuristic,abc_transporter_heuristic,stored_bounds_heuristic,mmdeltag_band_heuristic,low_energy_heuristic,default_heuristic,cascade_winner,cascade_operator
rxn17060,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17061,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17062,1,eQuilibrator,-,-,>,-,>,=,stored_bounds_heuristic,>
rxn17063,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17064,1,eQuilibrator,-,-,>,-,>,=,stored_bounds_heuristic,>
rxn17065,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17066,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17067,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17068,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17070,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17073,1,Group contribution,-,-,>,-,>,=,stored_bounds_heuristic,>
rxn17074,1,Group contribution,-,-,>,-,>,=,stored_bounds_heuristic,>
rxn17075,1,Group contribution,-,-,>,-,>,=,stored_bounds_heuristic,>
rxn17076,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17078,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17079,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17080,1,eQuilibrator,-,-,>,-,-,=,stored_bounds_heuristic,>
rxn17081,1,Group contribution,-,-,>,-,-,=,stored_bounds_heuristic,>
rxn17082,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17085,1,Group contribution,-,-,>,-,-,=,stored_bounds_heuristic,>
rxn17086,1,eQuilibrator,-,-,>,-,-,=,stored_bounds_heuristic,>
rxn17087,1,eQuilibrator,-,-,>,-,-,=,stored_bounds_heuristic,>
rxn17088,1,eQuilibrator,-,-,>,-,-,=,stored_bounds_heuristic,>
rxn17089,1,Group contribution,-,-,>,-,-,=,stored_bounds_heuristic,>
rxn17090,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17091,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17092,1,Group contribution,-,-,>,-,-,=,stored_bounds_heuristic,>
rxn17093,1,Group contribution,-,-,>,-,-,=,stored_bounds_heuristic,>
rxn17094,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17095,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17096,1,eQuilibrator,-,-,>,-,-,=,stored_bounds_heuristic,>
rxn17097,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17098,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17099,1,eQuilibrator,-,-,>,-,-,=,stored_bounds_heuristic,>
rxn17101,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17103,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17105,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17108,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17110,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17112,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17114,1,eQuilibrator,-,-,>,-,-,=,stored_bounds_heuristic,>
rxn17115,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17116,1,eQuilibrator,-,-,>,-,-,=,stored_bounds_heuristic,>
rxn17117,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17118,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17119,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17120,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17121,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17122,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17123,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17124,1,eQuilibrator,-,-,>,-,-,=,stored_bounds_heuristic,>
rxn17125,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17126,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17129,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17130,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17131,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17132,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17133,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17134,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17135,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17138,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17141,1,eQuilibrator,-,-,>,-,-,=,stored_bounds_heuristic,>
rxn17142,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17143,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17144,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17145,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17146,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17147,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17148,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17194,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17195,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17196,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17197,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17198,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17199,1,eQuilibrator,-,-,-,-,<,=,low_energy_heuristic,<
rxn17200,1,eQuilibrator,-,-,-,-,-,=,default_heuristic,=
rxn17201,1,eQuilibrator,-,-,-,-,-,=,default_heuristic,=
rxn17202,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17203,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17204,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17205,1,eQuilibrator,-,-,>,-,>,=,stored_bounds_heuristic,>
rxn17206,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17207,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17208,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17209,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17210,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17211,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17212,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17213,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17214,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17215,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17216,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17217,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17218,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17219,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17220,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17221,1,eQuilibrator,-,-,<,-,-,=,stored_bounds_heuristic,<
rxn17222,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17223,1,eQuilibrator,-,-,<,-,-,=,stored_bounds_heuristic,<
rxn17224,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17225,1,Group contribution,-,-,>,-,-,=,stored_bounds_heuristic,>
rxn17226,1,Group contribution,-,-,>,-,-,=,stored_bounds_heuristic,>
rxn17227,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17228,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17229,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17230,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17231,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17232,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17233,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17234,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17235,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17236,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17237,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17238,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17239,1,eQuilibrator,-,-,-,=,-,=,mmdeltag_band_heuristic,=
rxn17240,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17241,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17243,1,eQuilibrator,-,-,-,-,-,=,default_heuristic,=
rxn17244,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17245,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17246,1,eQuilibrator,-,-,-,-,-,=,default_heuristic,=
rxn17247,1,eQuilibrator,-,-,-,-,-,=,default_heuristic,=
rxn17248,1,eQuilibrator,-,-,>,-,-,=,stored_bounds_heuristic,>
rxn17249,1,eQuilibrator,-,-,-,-,-,=,default_heuristic,=
rxn17250,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17251,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17252,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17253,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17254,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17255,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17257,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17259,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17260,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17261,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17262,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17263,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17264,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17265,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17266,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17267,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17268,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17269,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17270,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17271,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17272,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17273,1,eQuilibrator,-,-,-,-,-,=,default_heuristic,=
rxn17274,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17275,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17276,1,,-,-,-,-,-,=,default_heuristic,=
rxn17277,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17322,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17368,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17369,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17370,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17371,0,,-,-,NA,NA,NA,=,default_heuristic,=
rxn17372,0,,-,-,NA,NA,NA,=,default_heuristic,=
